"","carat","cut","color","clarity","depth","table","price","x","y","z"
"42",2,"Premium","I","SI2",60,58,10976,8.23,8.17,4.92
"43",2.3,"Premium","I","SI2",61.3,58,11051,8.53,8.46,5.21
"44",2.02,"Premium","I","VS2",61.2,60,11059,8.22,8.13,5
"45",2,"Premium","J","SI2",60.9,54,11106,8.17,8.12,4.96
"46",2.25,"Premium","I","SI2",61.9,59,11114,8.42,8.35,5.19
"47",2.02,"Premium","I","SI1",62.1,58,11119,8.1,8.04,5.01
"48",2.02,"Premium","J","SI2",62.1,60,11165,7.98,8.09,4.99
"49",2.01,"Premium","J","SI1",60.3,56,11188,8.02,7.96,4.82
"50",2.06,"Premium","I","SI2",62.2,60,11190,8.14,8.1,5.05
"51",2,"Premium","F","SI2",60.6,62,11198,8.19,7.84,4.86
"52",2.04,"Premium","J","VS2",60.9,59,11209,8.25,8.21,5.01
"53",2.01,"Premium","I","SI2",63,56,11312,8.05,7.96,5.05
"54",2,"Premium","G","SI2",61.7,60,11355,7.95,7.9,4.89
"55",2,"Premium","F","SI2",61.5,59,11413,8.03,7.95,4.92
"56",2.02,"Premium","J","SI2",62.7,60,11463,7.98,8.1,5.04
"57",2,"Premium","G","SI2",61.4,59,11544,8.14,8.06,4.97
"58",2.33,"Premium","J","SI1",61.1,58,11638,8.6,8.56,5.24
"59",2.01,"Premium","I","SI1",61.3,60,11646,8.09,8.05,4.95
"60",2.11,"Premium","J","SI2",62,60,11663,8.19,8.24,5.09
"61",2,"Premium","J","VS1",62,62,11793,8.02,7.91,4.94
"62",2,"Premium","J","SI2",61.9,55,11899,8.09,8.06,5
"63",2,"Premium","J","SI2",59.8,60,11899,8.13,8.09,4.85
"64",2.01,"Premium","F","SI2",62,60,11903,7.88,7.82,4.87
"65",2.02,"Premium","F","SI2",61,59,11962,8.2,8.13,4.98
"66",2,"Premium","J","VS2",62.9,60,11966,7.99,7.95,5.01
"67",2.24,"Premium","J","VS1",60.9,58,11970,8.46,8.41,5.14
"68",2.15,"Premium","G","SI2",61.2,58,11985,8.42,8.3,5.1
"69",2.03,"Premium","F","SI2",60.9,59,12021,8.15,8.11,4.95
"70",2.01,"Premium","J","SI2",60.8,58,12048,8.19,8.13,4.96
"71",2.01,"Premium","J","SI1",60.9,58,12048,8.15,8.07,4.94
"72",2.01,"Premium","J","SI1",62.3,59,12048,8.03,7.97,4.98
"73",2.03,"Premium","J","SI2",60.9,60,12078,8.21,8.1,4.97
"74",2.03,"Premium","J","SI2",61.7,61,12078,8.18,8.04,5
"75",2.01,"Premium","J","SI2",62.4,59,12105,8.05,8.1,5.04
"76",2.12,"Premium","J","SI2",62.3,61,12140,8.21,8.16,5.1
"77",2.01,"Premium","I","SI2",62.3,59,12182,8.01,7.97,4.98
"78",2.01,"Premium","J","SI1",60.7,61,12209,8.15,8.1,4.93
"79",2.01,"Premium","G","SI2",60.8,61,12260,8.14,8.07,4.93
"80",2.03,"Premium","J","SI2",61.6,58,12268,8.12,8.15,5.01
"81",2.03,"Premium","J","SI2",62.7,59,12268,8.02,8.08,5.05
"82",2,"Premium","J","SI1",62.2,59,12308,7.97,7.92,4.94
"83",2.1,"Premium","J","SI2",62,62,12308,8.23,8.17,5.08
"84",2.17,"Premium","G","SI2",62.2,62,12321,8.32,8.24,5.15
"85",2.21,"Premium","J","SI2",60.6,62,12327,8.45,8.37,5.1
"86",2.01,"Premium","I","SI2",62,56,12338,8.01,7.87,4.92
"87",2.01,"Premium","I","SI2",62,56,12338,8.01,7.87,4.92
"88",2.38,"Premium","J","SI1",62.4,58,12364,8.54,8.46,5.31
"89",2.01,"Premium","J","SI1",60.5,59,12369,8.12,8.01,4.88
"90",2.01,"Premium","J","SI1",59.3,62,12369,8.2,8.15,4.85
"91",2.09,"Premium","F","SI2",61.3,59,12377,8.19,8.15,5.01
"92",2.09,"Premium","F","SI2",61.2,57,12377,8.26,8.21,5.04
"93",2.03,"Premium","J","SI2",62.7,59,12380,8.08,8.02,5.05
"94",2.03,"Premium","J","SI2",61.6,58,12380,8.15,8.12,5.01
"95",2,"Premium","G","SI2",60.3,57,12388,8.25,8.06,4.92
"96",2.1,"Premium","J","VS2",58.3,54,12401,8.49,8.45,4.94
"97",2.01,"Premium","J","SI2",62,59,12403,8.04,8.1,5
"98",2.01,"Premium","J","SI2",62.8,58,12407,8.09,8,5.05
"99",2.01,"Premium","J","SI2",61.4,60,12407,8.14,8.07,4.98
"100",2.02,"Premium","J","SI1",61.6,58,12431,8.14,8.1,5
"101",2.11,"Premium","J","SI2",61,58,12440,8.2,8.29,5.03
"102",2.11,"Premium","J","SI2",60.7,60,12440,8.2,8.27,5
"103",2.03,"Premium","J","SI1",60.1,58,12492,8.26,8.21,4.95
"104",2.1,"Premium","J","SI2",59.1,58,12494,8.46,8.4,4.98
"105",2.3,"Premium","J","SI1",59.6,59,12499,8.61,8.56,5.12
"106",2,"Premium","G","SI2",59.1,59,12521,8.2,8.14,4.83
"107",2.03,"Premium","J","SI2",62.7,59,12531,8.08,8.02,5.05
"108",2.01,"Premium","J","VS2",61.8,61,12541,8.06,7.97,4.95
"109",2.11,"Premium","J","SI2",60.7,60,12554,8.27,8.2,5
"110",2.11,"Premium","J","SI2",61,58,12554,8.29,8.2,5.03
"111",2.01,"Premium","I","SI1",61,60,12617,8.16,8.11,4.96
"112",2.01,"Premium","J","SI1",60.5,59,12690,8.12,8.01,4.88
"113",2.05,"Premium","I","VS1",60.3,59,12766,8.25,8.21,4.96
"114",2.23,"Premium","J","SI2",60.5,61,12770,8.47,8.4,5.1
"115",2.14,"Premium","G","SI2",60.1,58,12792,8.4,8.35,5.03
"116",2.04,"Premium","G","SI2",61.3,60,12794,8.18,8.13,5
"117",2.01,"Premium","I","SI1",60.5,58,12829,8.2,8.06,4.92
"118",2.02,"Premium","J","VS2",61.1,58,12832,8.04,8.1,4.93
"119",2.06,"Premium","I","SI2",61.1,57,12842,8.3,8.24,5.05
"120",2.03,"Premium","I","SI1",59.8,59,12844,8.29,8.24,4.94
"121",2.05,"Premium","G","SI2",62.1,56,12857,8.18,8.1,5.04
"122",2.03,"Premium","J","SI1",62.1,59,12862,8.06,8.12,5.02
"123",2.08,"Premium","G","SI2",62.2,60,12883,8.16,8.09,5.06
"124",2.01,"Premium","E","SI1",60.4,61,12898,8.05,7.98,4.84
"125",2.01,"Premium","J","VS1",60.2,61,12963,8.23,8.16,4.93
"126",2.18,"Premium","J","SI2",62.6,58,12970,8.25,8.23,5.16
"127",2.14,"Premium","I","SI2",62.1,58,12970,8.31,8.23,5.13
"128",2.03,"Premium","J","SI1",62.1,59,12979,8.12,8.06,5.02
"129",2.13,"Premium","I","SI2",59.8,58,12980,8.43,8.37,5.02
"130",2,"Premium","E","SI2",60.3,58,12987,8.15,8.08,4.89
"131",2.01,"Premium","I","VS2",59.5,60,13003,8.26,8.21,4.9
"132",2,"Premium","G","SI2",60.8,55,13007,8.09,7.95,4.88
"133",2.44,"Premium","I","SI2",61.4,56,13027,8.74,8.7,5.35
"134",2.11,"Premium","J","VS2",59.9,60,13046,8.36,8.41,5.02
"135",2.01,"Premium","I","SI2",58.2,61,13052,8.24,8.2,4.78
"136",2.2,"Premium","J","SI2",60.9,60,13065,8.42,8.34,5.1
"137",2.02,"Premium","I","VS2",59.2,58,13068,8.29,8.25,4.89
"138",2.23,"Premium","J","SI1",62.1,59,13069,8.29,8.33,5.16
"139",2.11,"Premium","G","SI2",61.4,62,13069,8.25,8.21,5.05
"140",2.17,"Premium","F","SI2",59.3,61,13084,8.6,8.53,5.08
"141",2.09,"Premium","J","SI2",60,60,13092,8.32,8.37,5.01
"142",2.02,"Premium","I","SI2",58,58,13117,8.34,8.25,4.81
"143",2.02,"Premium","I","SI2",61.2,58,13117,8.11,8.04,4.94
"144",2.01,"Premium","J","SI2",60.8,57.2,13133,8.13,8.15,4.95
"145",2.13,"Premium","J","SI2",62.6,58,13148,8.21,8.18,5.13
"146",2,"Premium","J","VS2",60.8,62,13162,8.12,8.09,4.93
"147",2.03,"Premium","I","SI2",63,56,13182,8.12,8.05,5.09
"148",2.03,"Premium","I","SI2",62.8,59,13182,8.08,8.04,5.06
"149",2.06,"Premium","I","SI2",62.7,60,13198,8.11,8.06,5.07
"150",3,"Premium","G","I1",59.7,60,13203,9.42,9.26,5.58
"151",2.14,"Premium","J","SI2",61.5,59,13205,8.25,8.3,5.11
"152",2.09,"Premium","J","SI2",60,60,13212,8.37,8.32,5.01
"153",2.01,"Premium","J","SI1",63,57,13219,8.07,8,5.06
"154",2.01,"Premium","J","VS2",61.5,60,13228,8.13,8.07,4.98
"155",2.01,"Premium","J","VS2",61.1,59,13228,8.07,8.04,4.92
"156",2.18,"Premium","I","SI1",63,58,13263,8.23,8.17,5.22
"157",2.02,"Premium","F","SI2",61.3,58,13267,8.09,8.05,4.95
"158",2.06,"Premium","G","SI1",59.3,61,13317,8.44,8.36,4.98
"159",2.15,"Premium","G","SI2",59.7,60,13317,8.4,8.37,5.01
"160",2.14,"Premium","J","SI2",61.5,59,13326,8.3,8.25,5.11
"161",2.19,"Premium","J","SI2",61.8,60,13355,8.35,8.25,5.13
"162",2.13,"Premium","I","SI1",62.5,60,13370,8.18,8.13,5.1
"163",2.01,"Premium","E","SI2",62.2,60,13387,8.02,7.96,4.97
"164",2.17,"Premium","J","SI2",62.3,60,13395,8.33,8.2,5.15
"165",2.01,"Premium","J","VS2",60.5,60,13400,8.13,8.09,4.91
"166",2.01,"Premium","I","SI2",60,61,13400,8.13,8.08,4.86
"167",2,"Premium","G","SI2",62.9,58,13420,7.98,7.92,5
"168",2.08,"Premium","F","SI2",62,60,13437,8.15,8.1,5.04
"169",2.04,"Premium","J","VS2",61.4,59,13477,8.04,8.14,4.97
"170",2.14,"Premium","G","SI2",60.7,59,13540,8.37,8.31,5.06
"171",2.05,"Premium","J","VS2",62.3,60,13543,8.09,8.15,5.06
"172",2,"Premium","J","VS2",61.5,59,13552,8.06,8.11,4.97
"173",2.22,"Premium","F","SI2",59.2,59,13553,8.54,8.46,5.03
"174",2.17,"Premium","J","SI2",62.3,58,13556,8.31,8.26,5.16
"175",2.3,"Premium","J","SI2",59.7,58,13560,8.63,8.68,5.17
"176",2.41,"Premium","I","SI2",60.7,59,13563,8.7,8.64,5.26
"177",2.01,"Premium","J","VS2",61.5,60,13572,8.13,8.07,4.98
"178",2.01,"Premium","I","SI2",59.2,60,13574,8.31,8.27,4.91
"179",2.11,"Premium","G","SI2",62.2,58,13598,8.19,8.23,5.11
"180",2.04,"Premium","J","VS2",61.4,59,13600,8.14,8.04,4.97
"181",2.01,"Premium","F","SI2",58.4,59,13610,8.26,8.24,4.82
"182",2.01,"Premium","J","VS2",60.4,59,13619,8.1,8.15,4.91
"183",2.21,"Premium","J","SI2",62.7,57,13642,8.33,8.25,5.2
"184",2.02,"Premium","I","SI2",61.4,57,13642,8.18,8.08,4.99
"185",2.05,"Premium","J","VS2",62.3,60,13667,8.15,8.09,5.06
"186",2.07,"Premium","J","VS2",61.5,59,13675,8.16,8.2,5.03
"187",2,"Premium","J","VS2",61.5,59,13675,8.11,8.06,4.97
"188",2.02,"Premium","E","SI2",59.9,58,13677,8.18,8.14,4.89
"189",2.02,"Premium","J","VS2",62,59,13687,8.06,8.08,5
"190",2.11,"Premium","I","SI2",62.3,56,13701,8.23,8.13,5.1
"191",2.22,"Premium","J","SI2",61.8,58,13703,8.42,8.31,5.17
"192",2.29,"Premium","G","SI2",60.1,58,13711,8.63,8.58,5.17
"193",2.2,"Premium","I","SI2",61.8,54,13719,8.45,8.4,5.2
"194",2.07,"Premium","J","SI1",61.7,60,13731,8.23,8.15,5.05
"195",2.04,"Premium","J","VS2",63,58,13734,8.02,7.99,5.04
"196",2.01,"Premium","J","VS2",60.4,59,13744,8.15,8.1,4.91
"197",2.15,"Premium","J","SI1",62.4,60,13746,8.24,8.18,5.12
"198",2.1,"Premium","I","VS2",59.2,60,13753,8.38,8.35,4.95
"199",2.01,"Premium","I","SI1",58.9,59,13755,8.26,8.22,4.85
"200",2.13,"Premium","F","SI2",62.4,58,13760,8.22,8.16,5.11
"201",2.05,"Premium","G","SI1",62.2,56,13767,8.19,8.08,5.06
"202",2.07,"Premium","E","SI2",61.4,58,13786,8.24,8.19,5.04
"203",2.07,"Premium","E","SI2",58.9,61,13786,8.45,8.35,4.95
"204",2.07,"Premium","J","VS2",61.5,59,13800,8.2,8.16,5.03
"205",2.02,"Premium","J","VS2",62,59,13812,8.08,8.06,5
"206",2,"Premium","I","SI2",60.7,61,13820,8.09,8.03,4.89
"207",2.24,"Premium","J","SI2",62.2,59,13827,8.37,8.33,5.19
"208",2.01,"Premium","I","SI2",62.6,56,13833,8.1,8,5.04
"209",2.09,"Premium","J","SI1",62.2,59,13864,8.23,8.16,5.1
"210",2.12,"Premium","E","SI2",62.4,58,13884,8.22,8.18,5.12
"211",2.06,"Premium","G","SI2",60.7,58,13908,8.18,8.25,4.99
"212",2.06,"Premium","I","SI2",61,61,13912,8.18,8.1,5.02
"213",2.1,"Premium","J","SI1",62.9,58,13930,8.15,8.09,5.11
"214",2.23,"Premium","J","SI2",61.3,60,13931,8.4,8.35,5.13
"215",2.18,"Premium","J","SI1",62.9,59,13938,8.25,8.21,5.18
"216",2,"Premium","G","SI2",61.1,60,13986,8.1,8.03,4.93
"217",2.02,"Premium","I","SI2",61.1,61,13991,8.11,8.08,4.95
"218",2.02,"Premium","I","SI2",62.9,60,13991,8.05,8.01,5.05
"219",2.11,"Premium","J","SI1",62.4,58,13996,8.27,8.17,5.13
"220",2.09,"Premium","G","SI2",59.8,59,14024,8.37,8.32,4.99
"221",2.08,"Premium","I","SI2",60.8,61,14047,8.24,8.21,5
"222",2.01,"Premium","F","SI2",61.3,58,14067,8.14,8.07,4.97
"223",2.22,"Premium","I","SI1",62.7,58,14095,8.33,8.28,5.21
"224",2.29,"Premium","G","SI2",62.5,59,14108,8.38,8.33,5.22
"225",2.23,"Premium","J","SI1",62.4,59,14129,8.33,8.36,5.21
"226",2.35,"Premium","I","SI1",61.8,58,14185,8.58,8.44,5.26
"227",2,"Premium","I","SI2",58.6,61,14199,8.28,8.16,4.82
"228",2,"Premium","I","SI2",61.3,59,14208,8.13,8.09,4.97
"229",2.02,"Premium","I","SI2",59.4,59,14211,8.21,8.25,4.89
"230",3.01,"Premium","G","SI2",59.8,58,14220,9.44,9.37,5.62
"231",2.05,"Premium","J","VS1",62.4,58,14224,8.08,8.13,5.06
"232",2.02,"Premium","I","VS1",60.5,62,14238,8.18,8.15,4.94
"233",2.02,"Premium","I","SI1",61.4,58,14240,8.14,8.07,4.98
"234",2.23,"Premium","J","SI1",62.4,59,14258,8.36,8.33,5.21
"235",2.01,"Premium","F","SI2",62.4,58,14279,8.08,8.05,5.03
"236",2.16,"Premium","J","SI1",60.5,59,14328,8.41,8.35,5.07
"237",2.02,"Premium","J","VS2",62.1,59,14330,8.08,7.98,4.99
"238",2.02,"Premium","I","SI2",59.4,59,14341,8.25,8.21,4.89
"239",2.02,"Premium","I","SI2",61.7,58,14350,8.07,8,4.96
"240",2.55,"Premium","I","SI2",62.9,58,14351,8.7,8.59,5.44
"241",2.1,"Premium","J","VS2",61.3,59,14359,8.27,8.21,5.05
"242",2.27,"Premium","I","SI1",61,58,14362,8.42,8.4,5.19
"243",2.1,"Premium","I","VS2",60.7,61,14394,8.28,8.27,5.02
"244",2.35,"Premium","J","VS1",60.7,60,14399,8.64,8.6,5.23
"245",2.05,"Premium","J","VS1",60.1,58,14411,8.19,8.25,4.94
"246",2.01,"Premium","I","SI2",62.1,56,14428,8.11,8.06,5.02
"247",2.01,"Premium","I","SI2",62.9,58,14444,8.05,8,5.05
"248",2.06,"Premium","I","SI1",60.9,61,14488,8.32,8.16,4.99
"249",2.01,"Premium","F","SI1",59.5,58,14502,8.21,8.18,4.88
"250",2.01,"Premium","E","SI2",62.6,58,14502,8.01,7.93,4.99
"251",2.01,"Premium","I","SI1",60.1,59,14558,8.24,8.19,4.94
"252",2.02,"Premium","E","SI2",60.4,57,14574,8.21,8.18,4.95
"253",2.03,"Premium","J","VS1",59.3,60,14588,8.36,8.28,4.93
"254",2.04,"Premium","I","SI2",59.8,59,14605,8.3,8.23,4.94
"255",2.11,"Premium","I","SI2",58.4,62,14615,8.43,8.39,4.91
"256",2.06,"Premium","E","SI2",58.8,58,14634,8.42,8.35,4.93
"257",2.38,"Premium","G","SI2",62.4,58,14648,8.59,8.47,5.32
"258",2.04,"Premium","J","VS1",62.6,58,14660,8.11,8.06,5.06
"259",2.04,"Premium","I","SI2",60.3,60,14660,8.26,8.19,4.96
"260",2.22,"Premium","I","VS2",60.5,59,14662,8.41,8.37,5.08
"261",2.32,"Premium","J","SI2",62.5,58,14666,8.47,8.43,5.28
"262",2.32,"Premium","J","SI2",59,59,14666,8.69,8.64,5.11
"263",2.33,"Premium","J","SI1",59.9,59,14711,8.7,8.65,5.2
"264",2.43,"Premium","I","SI2",62.2,60,14727,8.59,8.53,5.33
"265",2.01,"Premium","I","SI1",60.1,59,14752,8.21,8.15,4.92
"266",2,"Premium","I","VS2",58.5,61,14763,8.28,8.19,4.82
"267",2.04,"Premium","I","SI1",58.8,60,14775,8.42,8.32,4.92
"268",2.02,"Premium","F","SI2",61.5,60,14790,8.15,8.05,4.98
"269",2.06,"Premium","I","SI2",61.8,58,14803,8.22,8.11,5.05
"270",2.37,"Premium","I","VS2",61.6,56,14837,8.7,8.6,5.33
"271",2.23,"Premium","J","VS2",61,58,14867,8.39,8.36,5.11
"272",2.04,"Premium","G","SI2",62.1,59,14900,8.14,8.06,5.03
"273",2,"Premium","G","SI1",59.3,60,14918,8.19,8.13,4.84
"274",2,"Premium","G","SI1",59,62,14918,6.16,6.15,4.82
"275",2.08,"Premium","J","VS2",60.3,59,14933,8.29,8.23,4.98
"276",2.27,"Premium","I","SI2",62.5,59,14937,8.45,8.39,5.26
"277",2.01,"Premium","G","SI2",59.4,62,14939,8.27,8.22,4.9
"278",2.08,"Premium","I","SI2",62.3,58,14947,8.18,8.13,5.08
"279",2.01,"Premium","E","SI2",61.2,58,14948,8.07,8.05,4.93
"280",2.47,"Premium","I","SI2",62.5,56,14970,8.65,8.6,5.39
"281",2.05,"Premium","J","VS1",62.5,60,14973,8.09,8.14,5.07
"282",2.06,"Premium","I","SI2",61,59,14982,8.24,8.21,5.02
"283",2.06,"Premium","I","SI2",60.1,58,14982,8.32,8.26,4.98
"284",2.1,"Premium","I","SI1",61.5,57,15007,8.25,8.21,5.06
"285",2.02,"Premium","G","SI2",63,59,15014,8.05,7.95,5.03
"286",2.8,"Premium","I","SI2",61.1,59,15030,9.03,8.98,5.5
"287",2.19,"Premium","I","SI2",60.8,60,15032,8.34,8.38,5.08
"288",2.09,"Premium","J","VS1",61.2,59,15035,8.22,8.31,5.06
"289",2.07,"Premium","I","SI2",60.5,60,15055,8.32,8.27,5.02
"290",2.2,"Premium","J","VS1",61.7,59,15064,8.3,8.34,5.13
"291",2.08,"Premium","I","SI1",60.3,59,15065,8.26,8.22,4.97
"292",2.05,"Premium","J","VS1",60.1,58,15067,8.25,8.19,4.94
"293",2.03,"Premium","I","SI1",59.9,58,15095,8.23,8.21,4.92
"294",2.12,"Premium","I","SI2",60.6,59,15097,8.27,8.3,5.02
"295",2.01,"Premium","G","SI1",61.8,59,15105,8.15,8.09,5.02
"296",2.05,"Premium","J","VS1",62.5,60,15109,8.14,8.09,5.07
"297",2.13,"Premium","J","VS2",59.6,59,15110,8.43,8.37,5.01
"298",2.01,"Premium","F","SI1",63,59,15134,7.99,7.89,5
"299",2.01,"Premium","G","SI2",62.3,60,15147,8.04,7.97,4.99
"300",2.19,"Premium","I","SI2",60.8,60,15169,8.38,8.34,5.08
"301",2.19,"Premium","I","SI2",62.5,58,15169,8.31,8.26,5.18
"302",2.1,"Premium","G","SI2",62.6,56,15175,8.2,8.16,5.12
"303",2.22,"Premium","I","SI2",62.9,59,15184,8.24,8.2,5.17
"304",2.01,"Premium","J","VS1",60.1,59,15185,8.25,8.18,4.94
"305",2.2,"Premium","J","VS1",61.7,59,15201,8.34,8.3,5.13
"306",2,"Premium","J","VVS2",63,59,15214,8,7.97,5.03
"307",2.04,"Premium","G","SI1",60.7,62,15217,8.3,8.15,4.96
"308",4.01,"Premium","I","I1",61,61,15223,10.14,10.1,6.17
"309",4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24
"310",2.12,"Premium","I","SI2",60.6,59,15235,8.3,8.27,5.02
"311",2.2,"Premium","I","SI2",63,59,15238,8.22,8.19,5.17
"312",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"313",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"314",2.41,"Premium","J","VS1",61.1,60,15320,8.66,8.6,5.27
"315",2.08,"Premium","I","SI2",61.2,58,15321,8.24,8.16,5.02
"316",2.03,"Premium","G","SI1",61.9,59,15322,8.14,8.09,5.02
"317",2.31,"Premium","J","SI1",61.1,60,15323,8.58,8.51,5.22
"318",2.09,"Premium","I","SI1",60.8,59,15339,8.28,8.24,5.02
"319",2.29,"Premium","G","SI2",62.4,60,15366,8.41,8.36,5.23
"320",2.24,"Premium","I","SI2",61.9,58,15375,8.29,8.36,5.15
"321",2.01,"Premium","I","VS2",62.1,59,15379,7.98,8.06,4.98
"322",2.07,"Premium","I","SI1",59.4,61,15392,8.35,8.31,4.95
"323",2.06,"Premium","I","VS1",58.4,55,15393,8.42,8.35,4.9
"324",2.25,"Premium","I","SI1",61.3,58,15397,8.52,8.42,0
"325",2.04,"Premium","E","SI2",62.7,60,15398,8.04,8,5.03
"326",2.14,"Premium","I","VS2",59.3,59,15418,8.39,8.43,5
"327",2.18,"Premium","J","VS2",60.1,58,15465,8.46,8.41,5.07
"328",2.01,"Premium","I","VS1",61.5,62,15475,8.07,7.94,4.92
"329",2,"Premium","G","SI2",60.1,62,15485,8.07,8,4.83
"330",2.06,"Premium","I","SI1",60.8,60,15494,8.25,8.16,4.99
"331",2.02,"Premium","G","SI2",61,58,15498,8.15,8.22,4.99
"332",2.14,"Premium","I","SI1",59.5,59,15499,8.42,8.36,4.99
"333",2.24,"Premium","I","SI2",61.9,58,15515,8.36,8.29,5.15
"334",2.06,"Premium","I","SI1",61,58,15517,8.24,8.19,5.01
"335",2.01,"Premium","I","VS2",62.1,59,15520,8.06,7.98,4.98
"336",2.01,"Premium","I","SI1",62.4,61,15528,8.01,7.99,4.99
"337",2.01,"Premium","I","SI1",60.9,60,15528,8.1,8.06,4.92
"338",2.04,"Premium","I","SI2",60.2,59,15543,8.28,8.22,4.97
"339",2.14,"Premium","I","VS2",59.3,59,15559,8.43,8.39,5
"340",2.01,"Premium","G","SI2",59.4,58,15562,8.19,8.15,4.85
"341",2.1,"Premium","I","SI1",59.9,61,15615,8.34,8.26,4.97
"342",2.04,"Premium","G","SI2",60.3,59,15651,8.23,8.3,4.98
"343",2,"Premium","I","VS2",59.5,62,15651,8.21,8.13,4.86
"344",2.08,"Premium","I","VVS1",62.2,58,15654,8.22,8.18,5.1
"345",2.03,"Premium","I","SI1",61.4,58,15683,8.13,8.09,4.98
"346",2.01,"Premium","I","SI1",62.4,61,15707,8.01,7.99,4.99
"347",2.06,"Premium","I","SI1",60.8,60,15716,8.25,8.16,4.99
"348",2.15,"Premium","G","SI2",58.9,58,15751,8.46,8.41,4.97
"349",2.11,"Premium","G","SI2",59.1,59,15757,8.33,8.4,4.94
"350",2.02,"Premium","I","VS2",62.9,59,15808,8.03,7.93,5.02
"351",2.34,"Premium","I","SI1",61.7,60,15818,8.59,8.53,5.28
"352",2.1,"Premium","I","SI1",61.5,59,15818,8.28,8.24,5.08
"353",2.01,"Premium","J","VVS1",62.2,58,15836,8.1,7.89,5
"354",2.05,"Premium","I","SI1",61.2,57,15837,8.24,8.21,5.03
"355",2.01,"Premium","F","SI2",59.5,59,15841,8.24,8.15,4.88
"356",2.08,"Premium","E","SI2",62.3,59,15873,8.22,8.16,5.1
"357",2.05,"Premium","I","VS2",62.5,59,15897,8.07,8.12,5.06
"358",2,"Premium","G","SI2",62.1,59,15897,8.12,8.02,5.01
"359",2.2,"Premium","G","SI2",60.4,60,15897,8.44,8.36,5.08
"360",2.14,"Premium","I","SI1",61.3,61,15913,8.32,8.28,5.09
"361",2.14,"Premium","I","SI2",60.1,58,15915,8.41,8.37,5.04
"362",2.4,"Premium","J","SI1",59.7,58,15920,8.75,8.71,5.21
"363",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
